,Brand,Model,Version,Location,Fuel_Type,Transmission,Owner_Type,Year,Kilometers_Driven,Power,Seats,Predicted Price
0,Maruti,Alto,K10 LXI CNG,Delhi,CNG,Manual,First,2014,40929,58.2,4,3.124056604
1,Maruti,Alto,800 2016-2019 LXI,Coimbatore,Petrol,Manual,Second,2013,54493,47.3,5,2.949622642
2,Toyota,Innova,Crysta Touring Sport 2.4 MT,Mumbai,Diesel,Manual,First,2017,34000,147.8,7,17.53886792
4,Hyundai,i20,Magna,Mumbai,Petrol,Manual,First,2014,29000,82.85,5,4.591226415
5,Mahindra,XUV500,W8 2WD,Coimbatore,Diesel,Manual,Second,2016,85609,140,7,15.89990566
6,Toyota,Fortuner,4x2 AT TRD Sportivo,Pune,Diesel,Automatic,First,2015,59000,168.7,7,24.64962264
7,Hyundai,EON,Era Plus,Jaipur,Petrol,Manual,First,2013,65000,55.2,5,2.228584906
8,Honda,City,1.5 S MT,Mumbai,Petrol,Manual,Second,2011,66000,118,5,3.837735849
9,Mahindra,XUV500,W6 2WD,Coimbatore,Diesel,Manual,First,2015,54684,140,7,13.50924528
10,Audi,Q5,2008-2012 2.0 TDI,Mumbai,Diesel,Automatic,Second,2012,78000,167.6,5,17.53858491
11,Hyundai,Grand,i10 Magna,Jaipur,Petrol,Manual,First,2016,21000,82,5,4.909056604
12,Toyota,Corolla,H5,Chennai,Petrol,Manual,Third,2007,90000,125,5,2.785283019
13,Maruti,Swift,Vdi BSIII,Coimbatore,Diesel,Manual,First,2008,87628,75,5,2.748018868
14,Nissan,Terrano,XL,Mumbai,Petrol,Manual,First,2014,45000,102.5,5,5.056037736
15,BMW,X1,sDrive20d,Coimbatore,Diesel,Automatic,First,2013,30788,184,5,23.51367925
16,BMW,3,Series GT 320d Luxury Line,Hyderabad,Diesel,Automatic,First,2015,39524,184,5,27.22490566
17,Ford,Ikon,1.4 TDCi DuraTorq,Chennai,Diesel,Manual,First,2009,140000,68,5,2.283396226
18,Maruti,Swift,AMT ZXI,Kochi,Petrol,Automatic,First,2019,15409,81.8,5,6.690849057
19,Maruti,Swift,Dzire VXi,Jaipur,Petrol,Manual,First,2015,36502,85.8,5,4.780283019
20,Maruti,Ritz,LDi,Pune,Diesel,Manual,First,2016,200000,73.94,5,4.226981132
21,Nissan,Micra,XV,Delhi,Petrol,Manual,First,2010,70000,75,5,2.256886792
22,Maruti,Alto,800 2016-2019 LXI,Kochi,Petrol,Manual,First,2017,36701,47.3,5,3.503584906
24,Honda,Civic,2010-2013 1.8 S MT Inspire,Bangalore,Petrol,Manual,Second,2011,40000,132,5,5.252924528
25,Ford,Ikon,1.3 Flair,Pune,Petrol,Manual,Second,2005,47000,70,5,1.081509434
26,Maruti,Alto,LX,Pune,Petrol,Manual,Second,2006,93500,46.3,5,1.184716981
27,Honda,Jazz,1.5 V i DTEC,Pune,Diesel,Manual,First,2015,52000,98.6,5,5.853584906
28,Skoda,Rapid,1.5 TDI AT Ambition,Delhi,Diesel,Automatic,Second,2015,55429,103.52,5,6.193301887
29,Hyundai,i20,1.2 Sportz,Mumbai,Petrol,Manual,Second,2011,133000,80,5,3.219056604
30,Toyota,Etios,Cross 1.4L VD,Chennai,Diesel,Manual,Second,2014,70000,67.06,5,3.368396226
31,Volkswagen,Polo,GT TDI,Pune,Diesel,Manual,First,2014,68000,103.6,5,5.040377358
32,Hyundai,i10,Era 1.1 iTech SE,Pune,Petrol,Manual,Second,2010,71000,68.05,5,2.345943396
33,Mitsubishi,Pajero,2.8 SFX,Chennai,Diesel,Manual,First,2012,121000,107.2,6,8.918773585
34,Maruti,Swift,Dzire Tour LDI,Kolkata,Diesel,Manual,First,2015,107000,74,5,3.991698113
35,Maruti,Swift,Dzire VXI,Chennai,Petrol,Manual,First,2015,51000,85.8,5,4.629716981
36,Skoda,Rapid,1.6 MPI AT Style,Mumbai,Petrol,Automatic,First,2017,13500,103.52,5,9.023490566
37,Hyundai,Creta,1.6 SX Plus Dual Tone Petrol,Bangalore,Petrol,Manual,First,2016,13000,121.3,5,9.91509434
38,Toyota,Innova,2.5 G (Diesel) 7 Seater BS IV,Pune,Diesel,Manual,First,2010,81000,102,8,5.401698113
39,BMW,5,Series 520d Luxury Line,Mumbai,Diesel,Automatic,First,2012,66889,190,5,16.27283019
40,Maruti,Baleno,Alpha 1.3,Ahmedabad,Diesel,Manual,First,2018,32000,74,5,6.764716981
41,Audi,A4,2.0 TDI 177 Bhp Technology Edition,Pune,Diesel,Automatic,First,2013,87001,174.33,5,19.07311321
42,Audi,A4,2.0 TDI Multitronic,Hyderabad,Diesel,Automatic,Second,2013,55000,140,5,17.76358491
43,Skoda,Rapid,1.6 MPI Ambition,Jaipur,Petrol,Manual,First,2018,4000,103.52,5,9.13990566
44,Maruti,Ertiga,SHVS VDI,Kochi,Diesel,Manual,First,2017,27778,88.5,7,8.890188679
45,Maruti,Ciaz,1.4 Zeta,Mumbai,Petrol,Manual,First,2017,5000,91.1,5,8.453207547
46,Maruti,Ciaz,ZXi,Pune,Petrol,Manual,First,2014,72000,91.1,5,5.831226415
47,Mercedes-Benz,A,Class A200 CDI Sport,Chennai,Diesel,Automatic,First,2015,21000,136,5,23.66896226
48,Toyota,Innova,2.5 ZX Diesel 7 Seater,Kochi,Diesel,Manual,First,2015,59299,100.6,7,10.94377358
49,BMW,3,Series 320d Prestige,Ahmedabad,Diesel,Automatic,First,2014,75000,184,5,19.59056604
50,Maruti,Alto,800 2016-2019 LXI,Kochi,Petrol,Manual,First,2019,3413,47.3,5,3.855849057
51,Ford,Ecosport,1.5 DV5 MT Titanium,Mumbai,Diesel,Manual,First,2014,62000,89.84,5,6.058396226
52,Ford,Endeavour,3.0L 4X4 AT,Mumbai,Diesel,Automatic,First,2010,105001,153.86,7,6.408490566
53,Audi,Q5,2.0 TDI,Mumbai,Diesel,Automatic,First,2013,89000,174.3,5,20.03169811
54,Hyundai,Verna,1.6 SX VTVT,Mumbai,Petrol,Manual,First,2014,21000,121.3,5,6.088372642
55,Mahindra,XUV500,W8 4WD,Kolkata,Diesel,Manual,First,2014,50000,140,7,9.44254717
56,Maruti,Vitara,Brezza ZDi,Hyderabad,Diesel,Manual,First,2016,70687,88.5,5,7.830660377
57,Toyota,Etios,Liva 1.4 VXD,Pune,Diesel,Manual,First,2016,104350,67.04,5,3.612169811
58,Tata,Indigo,CS LX (TDI) BS III,Chennai,Diesel,Manual,Second,2011,150000,69,5,2.728113208
59,Honda,City,ZX GXi,Delhi,Petrol,Manual,First,2008,81000,78,5,1.883113208
60,Toyota,Corolla,Altis G,Kolkata,Petrol,Manual,Second,2008,89000,138.1,5,4.312924528
61,Hyundai,Grand,i10 Asta,Kochi,Petrol,Manual,First,2017,35223,82,5,5.977830189
62,Hyundai,i20,Sportz 1.2,Kolkata,Petrol,Manual,First,2015,48000,81.83,5,4.12490566
63,Volkswagen,Polo,1.5 TDI Comfortline,Delhi,Diesel,Manual,First,2015,60000,88.8,5,5.148396226
64,Maruti,Celerio,X VXI Option,Mumbai,Petrol,Manual,First,2018,7000,67,5,4.253113208
65,Chevrolet,Sail,Hatchback 1.2,Kochi,Petrol,Manual,First,2015,47572,82.5,5,4.37990566
66,Mahindra,Scorpio,VLX Special Edition BS-IV,Delhi,Diesel,Manual,Second,2010,72727,120,8,4.949716981
67,Volkswagen,Ameo,1.5 TDI Comfortline,Mumbai,Diesel,Manual,First,2018,4708,108.62,5,10.66462264
68,Maruti,Wagon,R LXI,Delhi,Petrol,Manual,Second,2009,55000,67.1,5,1.807641509
69,Honda,Brio,S Option MT,Coimbatore,Petrol,Manual,Second,2013,44198,86.8,5,4.212924528
70,Maruti,Ertiga,VXI,Ahmedabad,Petrol,Manual,First,2015,35000,93.7,7,5.913867925
71,Hyundai,Santro,Xing GL,Ahmedabad,Petrol,Manual,First,2013,63831,62,5,2.876320755
72,Ford,Figo,Aspire 1.2 Ti-VCT Titanium,Delhi,Petrol,Manual,First,2017,17540,86.8,5,6.194622642
73,Tata,Tiago,AMT 1.2 Revotron XTA,Mumbai,Petrol,Automatic,First,2017,14000,84,5,6.207169811
75,Chevrolet,Beat,LT,Chennai,Petrol,Manual,Second,2010,75422,79.4,5,2.15254717
76,Nissan,Micra,Diesel XV,Hyderabad,Diesel,Manual,Second,2011,67000,63.1,5,2.728679245
77,Toyota,Innova,2.5 GX (Diesel) 8 Seater,Delhi,Diesel,Manual,First,2013,79999,100,8,8.767358491
78,Hyundai,Xcent,1.2 VTVT E,Kolkata,Petrol,Manual,First,2017,5044,81.86,5,5.516886792
79,Maruti,Ciaz,VXi,Kolkata,Petrol,Manual,First,2016,31601,91.1,5,6.620188679
80,BMW,5,Series 2013-2017 520d Luxury Line,Delhi,Diesel,Automatic,First,2014,70000,190,5,23.905
81,Toyota,Camry,Hybrid 2.5,Ahmedabad,Petrol,Automatic,First,2016,16000,175.67,5,26.50537736
82,Toyota,Corolla,Altis D-4D G,Mumbai,Diesel,Manual,First,2016,31700,87.2,5,8.397358491
83,Hyundai,Verna,1.6 SX CRDi (O),Kochi,Diesel,Manual,First,2014,76969,126.32,5,6.434433962
84,Volkswagen,Vento,1.5 TDI Highline AT,Kolkata,Diesel,Automatic,First,2015,37000,103.2,5,4.889150943
85,Nissan,Teana,XL,Mumbai,Petrol,Automatic,First,2014,23000,179.5,5,24.34566038
86,Hyundai,i20,1.2 Sportz Option,Coimbatore,Petrol,Manual,Second,2014,59098,80,5,5.20509434
87,Tata,Manza,Club Class Safire90 LX,Kochi,Petrol,Manual,First,2010,142299,88.76,5,2.311163522
88,Ford,Figo,Diesel ZXI,Jaipur,Diesel,Manual,First,2011,75731,68,5,2.249245283
89,Hyundai,i20,Asta 1.2,Coimbatore,Petrol,Manual,First,2017,69627,81.83,5,5.364622642
90,Ford,Fiesta,Classic 1.6 SXI Duratec,Mumbai,Petrol,Manual,First,2011,49000,99.6,5,2.864056604
91,Mercedes-Benz,B,Class B180 Sports,Mumbai,Petrol,Automatic,First,2015,25700,120.7,5,12.37839623
92,Hyundai,i20,Magna,Delhi,Petrol,Manual,First,2012,80800,82.85,5,3.392830189
93,Maruti,Swift,Dzire VDI,Hyderabad,Diesel,Manual,First,2013,110896,74,5,4.469716981
94,Hyundai,Santro,Xing GLS,Kolkata,Petrol,Manual,First,2009,62261,62.1,5,1.373584906
95,Maruti,Baleno,Alpha,Kochi,Petrol,Manual,First,2017,27610,83.1,5,6.579716981
96,Honda,Accord,2.4 Elegance M/T,Kochi,Petrol,Manual,First,2011,89219,180,5,5.901132075
97,Nissan,Micra,XL CVT,Hyderabad,Petrol,Automatic,First,2018,6700,75.94,5,7.195754717
98,Maruti,Zen,Estilo LXI BS IV,Pune,Petrol,Manual,First,2011,51599,67.1,5,2.484245283
